hola,hello
adios,bye
uno,one
dos,two
y,and
nuevo,new
bien,well
bueno,good
trabajo,work
pensar,think
entonces,then
solo,only
algo,some
tomar,take
casa,house
ir,go
quien,who
arriba,up
abajo,down
que,what
comprar,buy
helado,icecream
sabor,flavour
chocolate,chocolate
porfavor,please
quiero,want
humanidad,humankind
humano,human
persona,person
gente,people
hombre,man
mujer,woman
bebe,baby
adolescente,teen
adulto,adult
caballero,gentleman
dama,lady
cuerpo,body
pierna,leg
pie,foot
talon,heel
cabeza,head
cara,face
boca,mouth
labio,lip
diente,tooth
ojo,eye
nariz,nose
barba,beard
bigote,mustache
colega,budy
pareja,couple
amor,love
padre,father
madre,mother
criatura,creature
especie,species
nacimiento,birth
muerte,death
naturaleza,nature
bosque,forest
selva,jungle
jungla,jungle
desierto,desert
costa,coast
playa,beach
laguna,lagoon
lago,lake
mar,sea
océano,ocean
cerro,closed
monte,mountain
energia,energy
perro,dog
gato,cat
vaca,cow
cerdo,pork
caballo,horse
yegua,horse
oveja,sheep
mono,monkey
raton,mouse
rata,rat
tigre,tiger
conejo,rabbit
dragon,dragon
ciervo,deer
rana,frog
leon,lion
jirafa,giraffe
elefante,elephant
pajaro,bird
gallina,chicken
gorrion,sparrow
cuervo,crow
aguila,eagle
halcon,hawk
pez,fish
camaron,shrimp
langosta,lobster
sardina,sardine
atun,tuna
calamar,squid
pulpo,octopus
insecto,insect
bicho,bug
mariposa,butterfly
polilla,moth
saltamontes,grasshopper
mosca,fly
cucaracha,cockroach
caracol,snail
babosa,slug
lombriz,worm
marisco,shellfish
molusco,mollusk
lagarto,lizard
serpiente,snake
cocodrilo,crocodile
prueba,try
